Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID
221,186.0,56,85,Altair,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",PCSS Poznan,Huawei,Poland,2020,Academic,63360,,3533.61,5879.81,5216256.0,,,829.0,Submitted,4.262496984,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,50183,179903
226,190.0,61,190,Pegasus,"NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR 200","Center for Computational Sciences, University of Tsukuba",NEC,Japan,2023,Academic,21600,15840.0,3478.0,6507.07,1071360.0,,,67.87,Submitted,51.24502726,,Cluster,Xeon Platinum 8468 48C 2.1GHz,Intel Sapphire Rapids,2100,Ubuntu 20.04,Linux,NVIDIA H100 SXM5 80 GB,48,Xeon Platinum (Sapphire Rapids),NEC LX 102Bk-6,NEC Cluster,Infiniband,Infiniband NDR200,Asia,47529,180170
231,195.0,55,74,Cedar (GPU),"PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,61440.0,3371.0,5834.4,1780800.0,,,310.0,Submitted,10.87419355,,Cluster,Xeon Silver 4216 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,NVIDIA Tesla V100,16,Xeon Silver (Skylake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179859
242,205.0,58,214,"Big Red 200, GPU Partition","HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Slingshot-10",Indiana University,HPE,United States,2021,Academic,31744,27648.0,3194.0,4006.14,1124352.0,,,,,,,MPP,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,SLES15 SP2,Linux,NVIDIA A100,64,AMD Zen-3 (Milan),HPE Cray EX 235n,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,48098,180020
244,207.0,60,178,Dream-AI,"INSPUR NF5688M6, Intel Xeon Gold 6330 28C 2GHz, NVIDIA A100 SXM4 40 GB, Mellanox HDR Infiniband",GIST SCENT,Inspur,South Korea,2022,Academic,36960,34560.0,3179.0,6418.18,1271000.0,,,,,,,Cluster,Xeon Platinum 8358 32C 2.6GHz,Intel Ice Lake,2600,Ubuntu 20.04.1 LTS,Linux,NVIDIA A100 SXM4 40 GB,32,Xeon Platinum 83xx (Ice Lake),INSPUR NF5688M6,Inspur Cluster,Infiniband,Mellanox HDR Infiniband,Asia,50939,180120
246,209.0,56,98,Toubkal,"PowerEdge C6420, CRC-StackHPC, Xeon Platinum 8276L 28C 2.2GHz, Mellanox InfiniBand HDR100",Mohammed VI Polytechnic University - African Supercomputing Centre,DELL EMC,Morocco,2020,Academic,71232,,3158.11,5014.73,4475520.0,2500000.0,,,,,,Cluster,Xeon Platinum 8276L 28C 2.2GHz,Intel Cascade lake,2200,CentOS Scientific-OpenStack,Linux,None,28,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,Africa,50853,179908
253,216.0,55,92,Lichtenberg II (Phase 1),"MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100",Technische Universitaet Darmstadt,MEGWARE,Germany,2020,Academic,59136,,3148.38,4352.41,5102208.0,,,690.0,Submitted,4.562869565,,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,CentOS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),MEGWARE MiriQuid,MEGWARE Cluster,Infiniband,InfiniBand HDR100,Europe,49078,179857
266,229.0,59,226,Komondor,"HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11",Governmental Information-Technology Development Agency (KIFÜ),HPE,Hungary,2022,Academic,27776,24192.0,3105.0,4508.49,1064448.0,,,110.24,Submitted,28.16582003,,MPP,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,RHEL,Linux,NVIDIA A100 SXM4 40 GB,64,AMD Zen-3 (Milan),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,50927,180079
267,230.0,61,230,Lichtenberg II (Phase 2),"ThinkSystem SD650 V3, Xeon Platinum 8470Q 52C 2.1GHz, InfiniBand HDR100",Technische Universitaet Darmstadt,Lenovo,Germany,2023,Academic,59904,,3098.52,4025.5488,,,,,,,,Cluster,Xeon Platinum 8470Q 52C 2.1GHz,Intel Sapphire Rapids,2100,RHEL 8.6,Linux,None,52,Xeon Platinum (Sapphire Rapids),Lenovo ThinkSystem SD650 V3,Lenovo ThinkSystem,Infiniband,InfiniBand HDR100,Europe,49078,180136
273,236.0,48,34,Camphor 2,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ","Academic Center for Computing and Media Studies (ACCMS),  Kyoto University",HPE,Japan,2016,Academic,122400,,3057.35,5483.52,4579680.0,,,748.1,Submitted,4.086819944,,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50516,178927
274,237.0,53,72,Jean Zay,"HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, Intel Omni-Path",CNRS/IDRIS-GENCI,HPE,France,2019,Academic,61120,,3054.35,4867.2,5598720.0,,52.571,,,,,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,RHEL 7.6,Linux,None,20,Xeon Gold 62xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Omnipath,Intel Omni-Path,Europe,50403,179699
275,238.0,61,238,Barnard,"EVIDEN BullSequana X2140, Xeon Platinum 8470 52C 2GHz, Mellanox HDR Infiniband","TU Dresden, ZIH",EVIDEN,Germany,2023,Academic,65520,,3047.36,4046.85,5387520.0,,,535.7,Submitted,5.688557028,,Cluster,Xeon Platinum 8470 52C 2GHz,Intel Sapphire Rapids,2000,RedHat Enterprise Linux,Linux,None,52,Xeon Platinum (Sapphire Rapids),EVIDEN BullSequana X2140,EVIDEN BullSequana,Infiniband,Mellanox HDR Infiniband,Europe,50565,180137
276,239.0,41,116,Palmetto2,"PowerEdge R740/R740xd/R750, Xeon 8358/6148/6248/6238R/6258R, NVIDIA Tesla A100 80G/40G, InfiniBand HDR100",Clemson University,DELL EMC,United States,2022,Academic,52080,40800.0,3011.0,4580.12,1275552.0,,,,,,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Rocky Linux 8.6,Linux,NVIDIA Tesla V100,20,Xeon Gold (Skylake),PowerEdge R750,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,50100,178083
282,245.0,52,423,Tetralith,"Intel H2204XXLRE, Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",National Supercomputer Centre (NSC),ClusterVision / Hammer,Sweden,2018,Academic,64512,,2969.19,4335.206,4160256.0,,65.241,,,,,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold (Skylake),Intel H2204XXLRE,ClusterVision / Hammer Cluster,Omnipath,Intel Omni-Path,Europe,48488,179576
290,253.0,56,113,,"Inspur TS10000 HPC Server, Xeon Gold 6248R 24C 3GHz, InfiniBand HDR 100",Central South University,Inspur,China,2020,Academic,49056,,2889.41,4709.38,4680192.0,,,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,3000,Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),Inspur TS10000 HPC Server,Inspur Cluster,Infiniband,InfiniBand HDR100,Asia,50841,179873
291,,62,291,Helios CPU,"HPE Cray EX, AMD EPYC 9654 96C 2.4GHz, Slingshot-11",Cyfronet,HPE,Poland,2023,Academic,75264,,2889.3,3395.91,3191130.0,,,,,,,MPP,AMD EPYC 9654 96C 2.4GHz,AMD Zen-4 (Genoa),2400,HPE Cray OS,Linux,None,96,AMD Zen-4 (Genoa),HPE Cray EX,HPE Cray EX,Gigabit Ethernet,Slingshot-11,Europe,47634,180205
302,264.0,57,149,"Karolina, CPU partition","Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100","IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava",HPE,Czechia,2021,Academic,92160,,2837.4,3833.86,4677120.0,,47.9706,502.7,Submitted,5.644320668,,Cluster,AMD EPYC 7H12 64C 2.6GHz,AMD Zen-2 (Rome),2600,CentOS,Linux,None,64,AMD Zen-2 (Rome),Apollo 2000,HPE Apollo,Infiniband,InfiniBand HDR100,Europe,50561,179926
305,267.0,45,21,SuperMUC Phase 2,"NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14",Leibniz Rechenzentrum,Lenovo/IBM,Germany,2015,Academic,86016,,2813.62,3578.266,4423680.0,,,1480.83,Submitted,1.900029038,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,None,14,Intel Xeon E5 (Haswell),IBM NeXtScale nx360M5,NeXtScale,Infiniband,Infiniband FDR14,Europe,48248,178544
319,281.0,53,82,VSC-4,"ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path",Vienna Scientific Cluster,Lenovo,Austria,2019,Academic,37920,,2726.0779,3761.664,3385000.0,,,,,,,Cluster,Xeon Platinum 8174 24C 3.1GHz,Intel Skylake,3100,SUSE Linux Enterprise Server 12 SP3,Linux,None,24,Xeon Platinum (Skylake),ThinkSystem SD650,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,50345,179697
333,295.0,56,133,Grace,"PowerEdge R640/R740/R840, Xeon Gold 6248R/6248R/6248, 24C 3.0GHz, InfiniBand HDR100",Texas A&M University,DELL EMC,United States,2020,Academic,43200,1532.0,2638.53,4829.34,4450560.0,,,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,3000,CentOS,Linux,None,24,Xeon Gold 62xx (Cascade Lake),PowerEdge R840,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,48957,179905
338,300.0,55,113,,"Inspur TS10000, Xeon Gold 6258R 28C 2.7GHz, InfiniBand HDR100",Tsinghua University,Inspur,China,2020,Academic,50400,,2610.0,4354.56,4298000.0,,,,,,,Cluster,Xeon Gold 6258R 28C 2.7GHz,Intel Cascade lake,2700,Linux,Linux,None,28,Xeon Gold 62xx (Cascade Lake),Inspur TS10000,Inspur Cluster,Infiniband,InfiniBand HDR100,Asia,49774,179827
344,306.0,55,114,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,,2607.98,4895.539,4320000.0,,,792.0,Submitted,3.29290404,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179858
346,308.0,57,181,AlphaCentauri,"NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200","TU Dresden, ZIH",NEC,Germany,2021,Academic,31008,29376.0,2592.0,5364.06,1170432.0,,87.5387,163.65,Submitted,15.83868011,,Cluster,EPYC 7352 24C 2.3GHz,AMD Zen-2 (Rome),2300,CentOS,Linux,NVIDIA A100 SXM4 40 GB,24,AMD Zen-2 (Rome),NEC HPC 22S8Ri-4,NEC Cluster,Infiniband,Infiniband HDR200,Europe,50565,179942
362,,62,362,UltraViolet,"PowerEdge R750XA, AMD EPYC 7402 24C 2.8GHz, NVIDIA Tesla A100 80G, Mellanox HDR Infiniband",NYU Langone Health,DELL EMC,United States,2018,Academic,27680,24624.0,2499.0,4707.02,1536768.0,1036215.0,,,,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),2800,Redhat 7.9,Linux,NVIDIA Tesla A100 80G,24,AMD Zen-2 (Rome),PowerEdge R750XA,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,North America,50964,180229
363,322.0,49,51,occigen2,"bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR",Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES),EVIDEN,France,2016,Academic,85824,,2494.65,3570.278,3889152.0,,45.475,1430.0,Submitted,1.74451049,,Cluster,Xeon E5-2690v4 14C 2.6GHz,Intel Broadwell,2600,bullx SCS,Linux,None,14,Intel Xeon E5 (Broadwell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,50203,179092
366,325.0,53,92,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,61200,,2483.58,4112.64,2937600.0,,,692.05,Submitted,3.588729138,,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,24,Xeon Platinum (Skylake),INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Europe,50675,179682
367,326.0,56,153,Expanse,"PowerEdge R6525/C6525, AMD EPYC 7742, AMD EPYC 7742 64C, Mellanox HDR Infiniband",UCSD/San Diego Supercomputer Center,DELL EMC,United States,2020,Academic,91648,16640.0,2480.6,3299.33,4652592.0,-1.0,,,,,,Cluster,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,CentOS,Linux,None,64,AMD Zen-2 (Rome),PowerEdge R6525,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,North America,49020,179904
370,329.0,43,130,Lomonosov 2,"T-Platform A-Class Cluster, Xeon E5-2697v3 14C 2.6GHz,Intel Xeon Gold 6126, Infiniband FDR, Nvidia K40m/P-100",Moscow State University - Research Computing Center,T-Platforms,Russia,2014,Academic,64384,40960.0,2478.0,4946.79,1462272.0,,,,,,,Cluster,Xeon E5-2697v3 14C 2.6GHz,Intel Haswell,2600,Linux,Linux,NVIDIA Tesla K40m,14,Intel Xeon E5 (Haswell),T-Platforms A-Class Cluster,T-Platforms Cluster,Infiniband,Infiniband FDR,Europe,50104,178444
376,335.0,57,205,Big Red 200,"HPE Cray EX425, AMD EPYC 7742 64C 2.25GHz, Slingshot-10",Indiana University,HPE,United States,2020,Academic,84480,,2431.2,3041.28,4056000.0,,,,,,,MPP,AMD EPYC 7742 64C 2.25GHz,AMD Zen-2 (Rome),2250,SLES15 SP2,Linux,None,64,AMD Zen-2 (Rome),HPE Cray EX425,HPE Cray EX,Gigabit Ethernet,Slingshot-10,North America,48098,179949
378,,62,378,Sol,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100 SXM4 80 GB, MT28908 ConnectX-6 200 Gib/s",Arizona State University,DELL EMC,United States,2023,Academic,41856,24192.0,2423.0,3508.0,1510000.0,,,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,Rocky Linux 8,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,MT28908 ConnectX-6 200 Gib/s,North America,50960,180227
404,362.0,57,216,Ares,"CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR",Cyfronet,Huawei,Poland,2021,Academic,37824,,2338.79,3510.07,4157568.0,,31.2179,486.85,Submitted,4.80392318,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),CH121L V5 Liquid-Cooled,Huawei Cluster,Infiniband,Infiniband EDR,Europe,47634,179958
407,365.0,57,219,HoreKa-Blue,"ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband",Karlsruher Institut für Technologie (KIT) ,Lenovo,Germany,2021,Academic,45752,,2333.51,3513.75,2764800.0,,,494.51,Submitted,4.718832784,,Cluster,Xeon Platinum 8368 38C 2.4GHz,Intel Ice Lake,2400,Linux,Linux,None,38,Xeon Platinum 83xx (Ice Lake),ThinkSystem SD650 V2,Lenovo ThinkSystem,Infiniband,Mellanox HDR Infiniband,Europe,50444,179914
416,374.0,59,301,VSC-5,"MEGWARE SLIDESX, AMD EPYC 7713 64C 2GHz, Infiniband HDR",Vienna Scientific Cluster,MEGWARE,Austria,2022,Academic,95232,,2312.3,3047.424,6451200.0,,,516.0,Submitted,4.48120155,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,AlmaLinux 8.5,Linux,None,64,AMD Zen-3 (Milan),MEGWARE SLIDESX,MEGWARE Cluster,Infiniband,Infiniband HDR,Europe,50345,180056
418,376.0,54,120,Longhorn,"IBM Power System AC922, IBM POWER9 20C 3.6GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR",Texas Advanced Computing Center/Univ. of Texas,IBM,United States,2019,Academic,37440,33280.0,2288.0,2867.405,1677312.0,,,,,,,Cluster,IBM POWER9 20C 3.6GHz,Power,3600,Redhat Linux,Linux,NVIDIA Tesla V100 SXM2,20,IBM POWER9,IBM Power System AC922, IBM Power Systems,Infiniband,Infiniband EDR,North America,48958,179714
419,377.0,58,280,Wilkes-3,"PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail",University of Cambridge,DELL EMC,United Kingdom,2021,Academic,26880,20736.0,2287.0,6641.41,1345248.0,700000.0,,74.26,Submitted,30.79719903,,Cluster,AMD EPYC 7763 64C 2.45GHz,AMD Zen-3 (Milan),2450,CentOS,Linux,NVIDIA Tesla A100 80G,64,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,Infiniband HDR200 dual rail,Europe,49143,180046
426,384.0,53,106,Béluga,"Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR",Calcul Québec/Compute Canada,DELL EMC,Canada,2019,Academic,72480,55040.0,2278.0,7494.784,2959104.0,790272.0,,240.0,Submitted,9.491666667,,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,NVIDIA Tesla V100,20,Xeon Gold (Skylake),PowerEdge R640,Dell PowerEdge Cluster,Infiniband,Infiniband EDR,North America,50800,179605
430,388.0,61,388,Sol,"PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100 SXM4 80 GB, MT28908 ConnectX-6 200 Gib/s",Arizona State University,DELL EMC,United States,2023,Academic,41856,24192.0,2272.0,3316.0,1469440.0,,,,,,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,Rocky Linux 8,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),PowerEdge XE8545,Dell PowerEdge Cluster,Infiniband,MT28908 ConnectX-6 200 Gib/s,North America,50960,180167
431,389.0,52,87,Cumulus,"PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path",University of Cambridge,DELL EMC,United Kingdom,2018,Academic,50176,,2271.38,2688.0,3928320.0,,,530.0,Submitted,4.285622642,,Cluster,Xeon Gold 6142F 16C 2.6GHz,Intel Skylake,2600,Scientific Linux,Linux,None,16,Xeon Gold (Skylake),PowerEdge C6420/C6320,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Europe,49143,179577
439,397.0,61,397,UltraViolet,"PowerEdge R750XA Server, AMD EPYC 7402 24C 2.8GHz, NVIDIA H100 80GB PCIe, Mellanox HDR Infiniband",NYU Langone Health,DELL EMC,United States,2018,Academic,17640,15000.0,2209.0,4358.28,1450368.0,1036215.0,,,,,,Cluster,AMD EPYC 7402 24C 2.8GHz,AMD Zen-2 (Rome),2800,Redhat Linux,Linux,NVIDIA H100,24,AMD Zen-2 (Rome),PowerEdge R750XA,Dell PowerEdge Cluster,Infiniband,Mellanox HDR Infiniband,North America,50964,180164
443,,62,443,Rockfish,"ThinkSystem SD530, Xeon Gold 6248R 24C 3GHz, Infiniband HDR",Johns Hopkins University,Lenovo,United States,2020,Academic,37392,,2175.0,3589.63,4038528.0,,,450.0,Submitted,4.833333333,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,3000,Linux,Linux,None,24,Xeon Gold 62xx (Cascade Lake),ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,50922,180200
454,,62,454,Spartan GPU Partitions,"PowerEdge R750XA, Xeon Gold 6326 16C 2.9GHz, NVIDIA Tesla A100 80G, 100G Ethernet",The University of Melbourne,DELL EMC,Australia,2022,Academic,33408,31104.0,2140.0,3007.41,1931264.0,1532544.0,,,,,,Cluster,Xeon Gold 6326 16C 2.9GHz,Intel Ice Lake,2900,RHEL 9.2,Linux,NVIDIA Tesla A100 80G,16,Xeon Gold 63xx (Ice Lake),PowerEdge R750XA,Dell PowerEdge Cluster,Gigabit Ethernet,100G Ethernet,Oceania,50985,180232
455,411.0,60,369,Hercules,"PowerEdge C6520, Xeon Platinum 8380 40C 2.3GHz, Infiniband NDR",Mississippi State University,DELL EMC,United States,2022,Academic,40960,,2136.34,3014.66,5687424.0,,,,,,,Cluster,Xeon Platinum 8380 40C 2.3GHz,Intel Ice Lake,2300,Linux,Linux,None,40,Xeon Platinum 83xx (Ice Lake),PowerEdge C6520,Dell PowerEdge Cluster,Infiniband,Infiniband NDR,North America,48371,180124
456,412.0,59,363,Phoenix - 2022,"ThinkSystem SR670 V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Infiniband HDR",University of Adelaide,Lenovo,Australia,2022,Academic,20160,17280.0,2134.0,3341.18,905472.0,,,68.71,Submitted,31.05807015,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,Linux,Linux,NVIDIA A100,36,Xeon Platinum 83xx (Ice Lake),ThinkSystem SR670 V2,Lenovo ThinkSystem,Infiniband,Infiniband HDR,Oceania,50921,180054
459,415.0,59,339,HSUper,"Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100",Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg,MEGWARE,Germany,2022,Academic,41832,,2129.92,3212.7,3417984.0,,32.894258423,394.7,Submitted,5.396300988,,Cluster,Xeon Platinum 8360Y 36C 2.4GHz,Intel Ice Lake,2400,AlmaLinux 8.5,Linux,None,36,Xeon Platinum 83xx (Ice Lake),Megware D50TNP,MEGWARE Cluster,Infiniband,InfiniBand HDR100,Europe,50913,180076
467,423.0,61,423,Marvin (Scalable GPU Partition),"MEGWARE GPU Server System, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband NDR",University of Bonn,MEGWARE,Germany,2023,Academic,17920,13824.0,2117.0,2627.07,1097728.0,,,90.74,Submitted,23.33039453,,Cluster,AMD EPYC 7713 64C 2GHz,AMD Zen-3 (Milan),2000,AlmaLinux 9.1,Linux,NVIDIA A100 SXM4 80 GB,64,AMD Zen-3 (Milan),MEGWARE GPU Server System,MEGWARE Cluster,Infiniband,Infiniband NDR,Europe,50965,180161
472,428.0,51,83,ATERUI II ,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ",National Astronomical Observatory of Japan,HPE,Japan,2018,Academic,40000,,2089.98,3072.0,4915200.0,,36.642,495.86,Submitted,4.214859033,,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold (Skylake),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50097,179419
473,429.0,55,271,Greene,"ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, Infiniband HDR",New York University,Lenovo,United States,2020,Academic,32796,,2088.83,3042.43,3846912.0,,,511.54,Submitted,4.083414787,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SR650,Lenovo ThinkSystem,Infiniband,Infiniband HDR,North America,49783,179851
486,442.0,54,144,Cannon,"ThinkSystem SD650, Xeon Platinum 8268 24C 2.9GHz, InfiniBand HDR100",Harvard University,Lenovo,United States,2019,Academic,32160,,2076.89,2984.448,3894144.0,,,,,,,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),ThinkSystem SD650,Lenovo ThinkSystem,Infiniband,InfiniBand HDR100,North America,47974,179740
490,446.0,58,333,Grace-GPU,"PowerEdge R740, Xeon Gold 6248R 24C 3GHz, NVIDIA A100 40GB, InfiniBand HDR 100",Texas A&M University,DELL EMC,United States,2020,Academic,26400,21600.0,2063.0,3900.0,999424.0,,,,,,,Cluster,Xeon Gold 6248R 24C 3GHz,Intel Cascade lake,3000,CentOS,Linux,NVIDIA Tesla A100 40G,24,Xeon Gold 62xx (Cascade Lake),PowerEdge R740,Dell PowerEdge Cluster,Infiniband,InfiniBand HDR100,North America,48957,180035
500,455.0,57,279,TX-Green2,"PowerEdge C6420, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet",MIT Lincoln Laboratory Supercomputing Center,ACTION,United States,2021,Academic,43200,,2015.0,53084.16,3970560.0,,,,,,,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,Ubuntu,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Gigabit Ethernet,25G Ethernet,North America,48296,179938
